File Name,Status,Score,Triggered Flags
file_267_AuditPolicyGPManagedStubs.Interop.ni.dll,BENIGN,4.56,"F1, F3, F9, F10"
file_268_EventViewer.ni.dll,BENIGN,54.78,"F3, F9, F10, F11"
file_269_Microsoft.ApplicationId.RuleWizard.ni.dll,BENIGN,52.91,"F3, F9, F10, F11"
file_26_Microsoft.DirectX.Direct3DX.dll,BENIGN,0.85,"F3, F11"
file_270_Microsoft.ApplicationId.Framework.ni.dll,BENIGN,54.86,"F3, F9, F10, F11"
file_271_Microsoft.Dtc.PowerShell.ni.dll,BENIGN,54.62,"F3, F9, F10, F11"
file_272_Microsoft.GroupPolicy.AdmTmplEditor.ni.dll,BENIGN,56.34,"F3, F9, F10, F11"
file_273_Microsoft.Isam.Esent.Interop.Wsa.ni.dll,BENIGN,55.12,"F3, F9, F10, F11"
file_274_Microsoft.Isam.Esent.Interop.ni.dll,BENIGN,55.5,"F3, F9, F10, F11"
file_275_Microsoft.Management.Infrastructure.ni.dll,BENIGN,55.82,"F3, F9, F10, F11"
file_276_Microsoft.ManagementConsole.ni.dll,BENIGN,55.73,"F3, F9, F10, F11"
file_277_Microsoft.PowerShell.Core.Activities.ni.dll,BENIGN,56.92,"F3, F9, F10, F11"
file_278_Microsoft.PowerShell.Utility.Activities.ni.dll,BENIGN,56.91,"F3, F9, F10, F11"
file_279_Microsoft.PowerShell.Commands.Diagnostics.ni.dll,BENIGN,56.49,"F3, F9, F10, F11"
file_27_Microsoft.DirectX.Direct3DX.dll,BENIGN,0.88,"F3, F11"
file_280_Microsoft.PowerShell.Diagnostics.Activities.ni.dll,BENIGN,56.79,"F3, F9, F10, F11"
file_281_Microsoft.PowerShell.Activities.ni.dll,BENIGN,57.39,"F3, F9, F10, F11"
file_282_Microsoft.PowerShell.Security.Activities.ni.dll,BENIGN,55.66,"F3, F9, F10, F11"
file_283_Microsoft.PowerShell.Management.Activities.ni.dll,BENIGN,56.94,"F3, F9, F10, F11"
file_284_Microsoft.PowerShell.Workflow.ServiceCore.ni.dll,BENIGN,56.88,"F3, F9, F10, F11"
file_285_Microsoft.Security.ApplicationId.PolicyManagement.PolicyModel.ni.dll,BENIGN,55.3,"F3, F9, F10, F11"
file_286_Microsoft.Security.ApplicationId.PolicyManagement.PolicyEngineApi.Interop.ni.dll,BENIGN,50.04,"F3, F9, F10, F11"
file_287_Microsoft.Security.ApplicationId.PolicyManagement.PolicyManager.ni.dll,BENIGN,55.6,"F3, F9, F10, F11"
file_288_Microsoft.Security.ApplicationId.PolicyManagement.Cmdlets.ni.dll,BENIGN,55.58,"F3, F9, F10, F11"
file_289_Microsoft.Security.ApplicationId.Wizards.AutomaticRuleGenerationWizard.ni.dll,BENIGN,56.86,"F3, F9, F10, F11"
file_28_Microsoft.DirectX.Direct3DX.dll,BENIGN,0.87,"F3, F11"
file_290_Microsoft.Security.ApplicationId.PolicyManagement.XmlHelper.ni.dll,BENIGN,50.03,"F3, F9, F10, F11"
file_291_Microsoft.Windows.Diagnosis.Commands.UpdateDiagRootcause.ni.dll,BENIGN,11.71,"F1, F3, F9, F10"
file_292_Microsoft.WSMan.Runtime.ni.dll,BENIGN,-3.0,"F1, F9, F10"
file_293_Microsoft.Windows.Diagnosis.TroubleshootingPack.ni.dll,BENIGN,53.26,"F3, F9, F10, F11"
file_294_Microsoft.Windows.Diagnosis.Commands.GetDiagInput.ni.dll,BENIGN,4.69,"F1, F3, F9, F10"
